SN,TN,CN,tgtsize,hand_theta,hand_theta_maxv,hand_theta_maxradv,handMaxRadExt,hand_theta_50,raw_ep_hand_ang,ti,fbi,ri,MT,RT,ST,radvelmax,maxRadDist,testMaxRadDist,discrim,discrim_onset,discrim_dist,stim_type,discrim_tar,problem_report
1,1,1,15,6.26896213872581,6.26896213872584,6.26896213872584,2.86576319148531,3.57825636118213,141.268962138726,135,0,0,0.115165899276597,0.355712338694879,43.38977886907,914.022873799104,122.313076766598,122.804401075958,0,0,0,0,0,No_Discrim
1,2,1,15,5.93818576120918,6.29216554740878,6.29216554740878,9.31035637312334,8.33602668718777,-129.061814238791,225,0,0,0.0830364729622772,0.374660323229264,1.07168036190518,1791.06275055293,179.927675133232,179.927675133232,0,0,0,0,0,No_Discrim
1,3,1,15,-0.394597703052113,0.0973324705581149,0.0973324705581149,0.932886219882334,0.736817878191289,-45.3945977030521,315,0,0,0.117409478619464,0.356261590474467,1.06668301201503,1292.09523894606,165.610493634954,166.148747094622,0,0,0,0,0,No_Discrim
1,4,1,15,-7.77117335261386,-8.29974253077638,-8.29974253077638,-10.0531275261323,-9.86927766018263,37.2288266473861,45,0,0,0.0710439749964138,0.398937973008522,1.04334762349453,1867.2211161131,161.927052664792,161.927052664792,0,0,0,0,0,No_Discrim
1,5,1,15,2.08479384983821,2.10085695792816,2.10085695792816,3.67040571243854,2.99825683651909,-42.9152061501618,315,0,0,0.116938948921977,0.387224307456009,3.48225297791803,1253.97761227514,154.75699177681,154.75699177681,0,0,0,0,0,No_Discrim
1,6,2,15,-1.9523121955466,-0.976618060688793,-0.976618060688793,3.85248030315205,1.81301630509347,-136.952312195547,225,0,0,0.0958065768393794,0.376147629744182,0.866831382107378,1515.76303660981,170.427208140119,170.427208140119,0,0,0,0,0,No_Discrim
1,7,2,15,5.62165818783257,5.62165818783257,5.62165818783257,5.28301950877329,5.85417973298655,140.621658187833,135,0,0,0.112672332252885,0.384177582595115,1.34207809470918,987.144127627107,118.72618929889,119.383068737729,0,0,0,0,0,No_Discrim
1,8,2,15,-9.02899827071091,-9.02899827071092,-9.02899827071092,-8.30832211603259,-8.7215054730242,35.9710017292891,45,0,0,0.0867571429773193,0.358071296967239,1.20327093256219,1593.5855267651,137.330484499586,137.330484499586,0,0,0,0,0,No_Discrim
1,9,2,15,9.90619987916034,3.07957953791328,9.82444107603237,8.17341228428433,8.70083252574818,-35.0938001208396,315,0,0,0.142987545084935,0.350965276951584,1.24744423652174,963.849486245428,136.596120527872,136.962725922539,0,0,0,0,0,No_Discrim
1,10,2,15,-1.79748079237562,-2.27382020410324,-2.27382020410324,-5.08710858682873,-4.76323297040749,43.2025192076244,45,0,0,0.0932475082357769,0.378595225475692,1.26020953294356,1618.78214213639,161.330077748581,161.330077748581,0,0,0,0,0,No_Discrim
1,11,3,15,0.90800528069451,0.90800528069451,0.90800528069451,4.49211882407491,3.78832886714395,-134.091994719305,225,0,0,0.0873331362276701,0.40871453450012,1.22558263354817,2891.53731132364,166.366979621934,166.366979621934,0,0,0,0,0,No_Discrim
1,12,3,15,11.5958523478065,14.8761895103968,11.5958523478065,10.0004508141121,10.839064821106,146.595852347806,135,0,0,0.112206910476743,0.388891292616606,1.04111185626657,929.691868706321,126.662871419788,127.099453904733,0,0,0,0,0,No_Discrim
1,13,3,15,0.496103203435723,1.94005912630803,1.94005912630803,5.56585211238087,4.21699112967087,-134.503896796564,225,0,0,0.0771428331055262,0.358097737972031,0.846452278193098,1802.89511273721,186.782033063294,186.782033063294,0,0,0,0,0,No_Discrim
1,14,3,15,-4.92392603925163,-5.39474214090813,-5.39474214090813,-11.684472654656,-8.38227873960802,40.0760739607484,45,0,0,0.0823225658350992,0.372861133045134,0.921908595850425,1672.53109122953,184.723840664054,185.015181332638,0,0,0,0,0,No_Discrim
1,15,3,15,0.845363265463732,0.845363265463732,0.845363265463732,5.76404118204727,4.47215085709189,-44.1546367345363,315,0,0,0.139214894458306,0.427526708419364,0.782246007107773,1831.02625631359,134.543066450292,135.183820161611,0,0,0,0,0,No_Discrim
1,16,4,15,6.32208734752103,6.32208734752103,6.32208734752103,13.5340445284285,12.1556313883833,141.322087347521,135,0,0,0.113389844971607,0.365880407335638,0.850623647152048,883.002565103908,106.247897087703,106.892795259346,0,0,0,0,0,No_Discrim
1,17,4,15,5.31174202015222,5.35074419909506,5.35074419909506,6.97292593940483,6.77315125459342,-129.688257979848,225,0,0,0.0854486137101418,0.380464123763176,0.930432214277673,1411.92503629477,143.856980987899,143.856980987899,0,0,0,0,0,No_Discrim
1,18,4,15,-9.72785306795395,-9.85732574224792,-9.85732574224792,-11.43543877167,-11.1858602685074,35.272146932046,45,0,0,0.0874295858016865,0.352506066407727,0.896167977299115,1421.46378010933,150.464225835218,151.40015380219,0,0,0,0,0,No_Discrim
1,19,4,15,6.02288252593519,6.02288252593519,6.02288252593519,3.63758784931133,4.34377401248497,-38.9771174740648,315,0,0,0.157080300129493,0.392977930174197,1.42470533303045,759.640839323774,110.377652323829,110.609585281438,0,0,0,0,0,No_Discrim
1,20,4,15,14.3582970106409,14.3582970106409,14.3582970106409,10.6755235718414,11.1147667822566,149.358297010641,135,0,0,0.129848769471693,0.385607199645207,0.88171376170169,716.182301977025,97.3250440808737,97.7367342562928,0,0,0,0,0,No_Discrim
1,21,5,15,-7.90006131286718,-7.90006131286717,-7.90006131286717,-7.94608954380159,-8.314814468086,37.0999386871328,45,0,0,0.108958272488962,0.366633074572022,1.00678151677621,1157.12580062767,122.130376173798,122.130376173798,0,0,0,0,0,No_Discrim
1,22,5,15,-4.0407928497749,-4.0407928497749,-4.0407928497749,-0.305722979382608,-2.35902470387714,-49.0407928497749,315,0,0,0.160651338095107,0.353084162919828,0.822522868464375,791.7206351877,117.261413940157,117.898474102511,0,0,0,0,0,No_Discrim
